coords,points,values
"22.5246626679,116.793841045;22.620420336,117.136972689",point,value
"22.620420336,117.136972689;23.3454716819,116.747207012;22.5246626679,116.793841045",5,value
"22.620420336,117.136972689;22.9821622572,118.217414523;23.6890965412,119.144252573;26.5979260847,121.570346245;27.8222338145,122.389931485;29.5287312086,123.189973127;30.4218874457,123.343188719;30.8931359458,123.061646314;31.1685911147,121.72700058;31.1315480423,123.49452147;30.4291892372,124.569405749",point,value
"27.2963085197,129.944629213;27.2951050195,129.942623776",6,value
"27.2963085197,129.944629213;26.9053461782,131.807877111;27.2179273804,133.317761881;28.9245550546,136.532545806;30.2772813083,138.486130596;31.9776311783,140.320748899;33.7803012167,141.61285588;35.4234387693,142.209828841;36.5532643317,141.922669965;36.7797639015,141.444263186;36.792527,140.741799;35.8714965498,141.548794668;34.9640973594,141.275871595;34.97047,139.960195;34.4337173903,140.189432874;33.8840708676,138.501694728;29.8387021358,134.181114786;27.2963085197,129.944629213",3,value
"27.3034267598,129.911583679;26.2805652116,128.838829681;25.8449089316,127.094526014;25.70154483,125.527761188;25.670823951,122.742401499;25.6248726363,122.215890185;25.2384915819,121.359290677;25.166667,121.433333;25.2312013733,121.38662896;25.3952310663,121.780300223;25.1072678276,122.245051019;23.4368780545,121.858543013;22.8611066494,121.693949997;22.0786994045,121.172412541;21.6745550452,120.534918022;21.4602153215,119.221934038;21.5462079724,118.129680131;21.8767808848,117.541393656;22.620420336,117.136972689",point,value
"27.3034267598,129.911583679;27.3025785573,129.914747475;27.2963085197,129.944629213",3,value
"28.6883276296,127.03694408;27.668674079,128.549210923;27.3034267598,129.911583679",point,value
"30.4291892372,124.569405749;28.6883276296,127.03694408",8,value
"30.4291892372,124.569405749;32.3996310873,126.833206945;34.4999643329,128.543904312;35.178228,129.195528;34.1812450791,128.932343403;32.4780890666,128.374584708;28.6883276296,127.03694408",8,value
"35.5213240051,24.0061446437;35.8841026396,24.1042231782;35.887263835,24.6169594953;34.8265159372,28.823281887;34.7107639883,30.5592536498;34.8516402876,32.349206796",6,value
"-33.9677290461,151.280136762;-33.2480661298,152.46622295;-32.3715056476,153.437352047;-31.4846082701,154.050593198;-30.3364426094,154.531835374;-28.5706900123,154.959658257;-26.15049175,155.292836705;-24.2416800407,155.306186007;-22.2781282592,155.091545067;-20.1995107315,154.594272774;-18.7054143638,153.764682454;-17.319000883,152.540009976;-14.2838468529,149.294787233;-12.7324792602,148.062797241;-11.2908965518,147.42701878;-9.4781529688,147.195122105",5,value
"25.8225980239,-80.157918081;25.39523436,-79.9959007332;24.6523960393,-80.5041585315;24.1245898641,-81.5597708819;23.7336223269,-83.0845442769;22.7366551071,-84.3942855265;22.0329135402,-85.3717043695;21.0421894576,-86.8136106482;20.7231722906,-86.7987358802;20.5081401451,-86.9942196488;20.2182014133,-87.4236701022;19.6675599402,-87.1897034174;18.9638183732,-87.3460904323;18.29917356,-87.6197677083;17.8104641385,-87.8738966075;17.5057687583,-88.017997734;17.5775418132,-88.2801909111;17.3413030939,-88.1280255066;16.9503355567,-88.0302836223;16.6506428595,-88.174042606;16.0014961918,-88.7482877352;15.7231329589,-88.5898389187;15.923961396,-88.5947664013;15.9733349688,-88.5493427143;15.8414254562,-87.9461885659;16.0706585981,-88.1084771298;16.3247874972,-87.8152514769;16.3443358741,-87.2288001711;16.2661423667,-86.8182842571;16.1293037286,-86.3491232124;15.9144884692,-85.9560912588;16.1097553518,-86.0949943133;16.2465939898,-85.997252429;16.2856907435,-85.4303495;16.2465939898,-84.1597050042;15.7578845683,-83.7100923364;15.2777964986,-83.7711592503;15.5428524229,-83.3973183067;15.5428524229,-82.9086088852;14.9954978708,-82.5567381017;14.3894981882,-82.5371897249;13.9398855204,-82.791318624;14.0322460861,-83.3780106565;13.6857566212,-82.9868023926;13.0993053155,-82.6740283629;12.610595894,-82.6935767397;12.1609832262,-82.8304153778;11.9654994576,-83.1822861612;12.0073568681,-83.7537632949;11.8587332038,-83.1860020781;11.2813062675,-82.791318624;10.7144033386,-82.6935767397;9.96507169454,-83.0335707379;10.2061455403,-82.2635124488;10.1670487866,-81.6379643893;10.0693069023,-80.9733195761;9.81517800309,-80.3673198935;9.45363060339,-79.7318183875;9.73698449565,-79.878610472;10.0497585254,-79.7808685877;10.2843390477,-79.2335140356;10.2256939171,-78.4515789613;9.85427475681,-77.9628695398;9.13354502253,-77.9191598264;9.73698449565,-77.6696438869;10.1670487866,-77.2200312191;10.3429841783,-76.7313217977;10.4069289638,-75.4906844412;10.5580163237,-75.7343545778;10.8707903535,-75.7343545778;11.4767900361,-75.5388708092;11.8482091965,-75.011064634;12.0045962113,-73.8577103993;11.5794163632,-72.9230414121;11.8091124427,-73.0562269481;12.2391767336,-72.9975818175;12.5324023865,-72.7043561646;12.8060796626,-71.9224210903;12.7865312857,-71.1013892622;12.0474486953,-70.8146531926;11.7081464338,-70.2266683125;12.0055119194,-70.5368220524;12.3567324174,-70.2537488152;12.3760153717,-69.9284866506;12.1805316031,-69.459325606;12.0978158366,-68.9358884157;12.2391767336,-69.2638418374;12.7083377783,-69.2051967068;13.2556923303,-69.1465515762;15.2105300163,-68.345068125;17.0676258179,-67.7781651961;18.3969154443,-67.4653911663;18.7992696124,-67.0717959451;18.7835433215,-66.406049628;18.4542979695,-66.0098887037;19.4720761716,-66.3902304391;19.4916245485,-66.9180366143;18.7940275155,-67.6641529044;18.5621528935,-68.3339883561;18.8202380004,-68.162152118;19.4720761716,-68.8337775465;19.9021404625,-69.5375191134;19.9682572402,-70.2485067182;19.7972657327,-70.6928799194;20.2735596228,-70.847260363;20.8600109286,-71.0818408853;21.2900752195,-71.8833243365;21.7734462754,-72.2480783394;21.6028492493,-72.2742918737;21.5637524955,-72.5870659035;21.7005911336,-72.9975818175;21.7983330179,-73.6426782539;21.8960749021,-74.0336457911;22.1805116336,-74.2694883664;22.3261391931,-74.5810003431;22.9712356294,-74.6591938506;23.3817515435,-74.6396454737;23.9291060955,-74.6787422274;24.2027833715,-74.8351292423;24.4037147442,-75.4906844412;24.7305895467,-75.4606773018;24.7501379236,-75.8907415927;24.5937509087,-76.2426123762;25.032122928,-76.8220963379;25.0717194347,-77.3416141044;25.4147827368,-77.3568698572;25.5907181286,-77.7282890175;25.6493632591,-78.2951919464;25.7275567666,-79.5853848191;25.8225980239,-80.157918081",1,value
"-36.4482242518,-56.6887576375;-36.6115031803,-53.8983620516;-36.3506771712,-51.2274135333;-35.7288235856,-48.9419350587;-34.6150414178,-46.5659606822;-32.8569380122,-43.8790205829;-30.6700557819,-41.2604302874;-28.3884388169,-39.2185205138",8,value
"-28.3884388169,-39.2185205138;-25.5295716795,-37.2076082803;-19.6142790386,-33.9334110305;-17.0567667017,-32.837477886;-14.6689378597,-32.0583394761;-12.1021845135,-31.5913084878;-6.44351504872,-31.249309491",1,value
"-23.016667,-43.467;-24.3241589462,-42.4293225409;-28.3884388169,-39.2185205138",8,value
"-6.44351504872,-31.249309491;0.720052863254,-30.2295273719;4.21355480405,-29.4642269984;6.93819534845,-28.4382614279;8.26836268111,-27.6845257469;9.41887702001,-26.8082969944;10.8437046091,-24.6600212924;12.3138212542,-22.3903675245",5,value
"-3.75013953496,-38.4761340493;-3.42979721152,-37.939443313;-3.50366007642,-36.6468431772;-4.20535729299,-35.2065173116;-6.44351504872,-31.249309491",1,value
"12.3138212542,-22.3903675245;13.9430602066,-18.4882271124;14.67261333,-17.448545;15.5119697452,-17.8639557489;16.3501941481,-18.2121412701;20.0894920154,-19.4228766388;21.5848955571,-19.585996591;23.2104549983,-19.2915790007;27.9047951479,-16.4905573042;28.7021774945,-16.0759602613;32.2377705228,-14.9258717521;34.6621734112,-14.1693204962;37.4304632341,-15.0290378325;39.063926173,-14.9774547923;39.9445360291,-14.5531443494;38.7114703969,-9.47869605348;37.8727242676,-9.40635819068;36.9555616347,-9.10700649797;36.1084600361,-7.40324952348;36.2836126223,-6.12941253321",1,value
"14.904,-23.5176666667;12.3138212542,-22.3903675245",5,value
"14.0313131546,-61.0801531364;14.231371217,-60.9536834454;14.2388796273,-60.81853206;14.2088459861,-60.690889085;13.1426517241,-59.7373209774;13.0865732847,-59.6144294183",3,value
"17.7651341315,-64.8821658354;17.8804586209,-64.8130063375;18.0081015959,-64.6027708492;18.0756772885,-64.3775185403;18.0681688782,-64.0321316667;18.0231184165,-63.9720643843;17.8203913385,-63.8294045887;17.4975296958,-63.8444214093;17.1896848736,-63.9720643843;16.769213897,-64.0020980255;14.0436609596,-61.3441207807;14.027353631,-60.9955076371",1,value
"34.8915098383,35.8731127021;34.8677438792,35.826580109;34.0452667865,35.5145347798;33.9047430621,35.5517322363",3,value
"43.1949543588,27.9781401272;43.9668963336,31.2165570498",8,value
"43.9668963336,31.2165570498;44.0386324813,35.6641982068;44.632479506,37.786096789",point,value
"43.9668963336,31.2165570498;46.3953392917,30.7649213335",5,value
"-33.4414567742,154.073427082;-33.691662897,152.307214088;-33.7774244986,151.298607216;-33.885,151.22621;-34.2616268123,151.90325908;-34.9048252927,153.21682112;-34.583598057,153.633226796;-33.4414567742,154.073427082",2,value
"11.6944299868,149.367011843;10.6891077118,151.657243061;-10.0937888081,164.467705909;-10.7600378897,164.61047357;-11.6166438518,164.372527469;-17.8508316871,159.518427017;-18.1839562279,158.043161193;-23.9017217096,156.995881089;-26.3763611556,154.692562836;-30.8902779991,154.902272666;-32.549158897,154.406551623;-33.4414567742,154.073427082",2,value
"12.8492121562,148.823305003;11.6944299868,149.367011843",3,value
"12.8492121562,148.823305003;15.4777729861,149.343217233;20.7244845039,148.926811557;24.6455487233,146.62492098;26.3825552576,146.52974254;32.0218778414,143.579210893;33.5954947199,143.790189768;34.6995646266,142.80033399;35.005963,139.974752;34.4711363701,139.887873719;33.7097088482,138.231768859;34.322629,136.87935;33.214780959,138.155626107;32.0218778414,143.579210893",3,value
"13.5297238648,144.800678887;12.8841604897,144.786549407;11.8907841982,145.811789039;11.2304350907,147.058934668;11.2899216158,148.569892406;11.6944299868,149.367011843",3,value
"13.553344182,144.812489045;12.765931021,147.038709249;12.8492121562,148.823305003",3,value
"34.8236688246,33.5994309635;34.8174605913,33.6615132974;34.0310843619,35.4763868582;33.9047430621,35.5517322363",3,value
"34.9788746594,34.021590834;33.037658635,35.0926202689",point,value
"21.0421894576,-86.8136106482;23.4935138765,-82.8119753049;23.8817867083,-81.5240459114;24.4689309907,-80.2929369323;25.1649810673,-79.847843686;26.277714183,-79.6205620284;26.7506541239,-80.0284866476;27.3464765569,-79.4198332512;27.6151973066,-77.4940012116;25.4654313088,-73.6423371323;22.7782238116,-68.7605768457;20.8076049804,-66.5660240563;19.4192144402,-65.42396087;18.3794697342,-64.9636743354;19.2313397657,-64.4841472794;21.3143592337,-45.5075234523;25.9323750807,-34.3075080072;30.5503909277,-26.7169762127;33.2044230237,-22.7359280688;34.956084207,-17.7463477283",3,value
"34.956084207,-17.7463477283;32.6177478885,-17.4648862841;32.6365383772,-16.9114036915;32.0349788584,-16.2234287253;30.5977389905,-15.2116533671;29.6170951818,-15.0767499859;28.1309,-15.44536667",7,value
"34.956084207,-17.7463477283;35.4868906262,-12.7036867459;35.8584551197,-6.49325164134;36.3892615389,-1.55675194282;37.7693582288,3.64515096531;38.6186484995,9.27169900879;38.5102353096,12.3763535846;38.1794107953,13.0931389153",3,value
"31.3258147558,-27.5353846773;26.9705485766,-34.7366663795;27.9103285546,-77.9565415499;26.0210404455,-80.1197640539",point,value
"36.1375765848,-8.62036262992;35.6207272598,-17.4363090131;33.9598929526,-23.1800276587;31.3258147558,-27.5353846773",3,value
"37.6359481245,12.5457110495;37.9017987594,11.7781719877;38.0149097429,9.57250781042;36.8344020504,0.121085369738;36.2836126223,-6.12941253321;36.1375765848,-8.62036262992",2,value
"38.7114703969,-9.47869605348;38.6004947301,-9.62042307417;38.1445160781,-9.63102722887;37.5718917243,-9.54619399128;36.9250382877,-9.29169427851;36.1375765848,-8.62036262992",2,value
"37.74625,-25.666861;31.3258147558,-27.5353846773",3,value
"23.9366449331,129.054605637;25.5859200748,132.838236844;27.4281448162,135.817153448;30.0150987084,139.658388015;30.8382204013,142.323734449;29.8975098951,147.066483251",1,value
"26.212411,127.675053;26.1754004443,127.537248705;23.9366449331,129.054605637",7,value
"29.8975098951,147.066483251;20.2692676613,145.007070217;13.553344182,144.812489045",5,value
"29.8975098951,147.066483251;30.0,180.0",point,value
"30.0,-180.0;31.7262792002,-135.654172582;35.2281823969,-120.849216673;36.8403041567,-123.242149146;39.7508926886,-124.655863576;42.3915776917,-124.788667698;43.251167,-124.3845;40.4138109277,-133.047913064;37.0,-180.0",point,value
"30.9926654098,126.535534954;31.4946116874,124.759417357;30.7782368222,123.792175206;31.5317772653,121.866844367;30.7782368222,123.488969176;30.2450124252,123.760809065;29.1527807443,123.862290764;24.0387014395,122.646355824;22.8558552358,122.233979326;21.7838817787,121.471318227;21.9081730277,120.630895884;22.2569002387,120.64681561;22.3017200781,119.682866525;23.3454716819,116.747207012;22.6153814881,117.926362629;21.2743302545,122.451225005;22.9205736404,126.723618554;23.9366449331,129.054605637",7,value
"30.9926654098,126.535534954;30.722386645,128.079985039;29.4482153249,129.392767611;29.2551590643,131.36194147;31.4173891832,135.068621673;31.7648904523,136.883350523;33.1508003959,141.853379196;33.4085117186,142.395233772",2,value
"33.4085117186,142.395233772;34.6794549685,145.067473426;36.2081095412,155.415288994;37.0,180.0",point,value
"34.97047,139.960195;33.4085117186,142.395233772",2,value
"35.178228,129.195528;30.9926654098,126.535534954",4,value
"1.68601591525,101.455804775;1.67827621582,101.591249515;1.71310486327,101.738303804;2.18909637848,102.241384267",7,value
"22.9917804757,125.680861623;21.7756997315,123.23720156;21.1699806517,118.468075356;22.2264088411,114.276892849;22.2916328387,114.269988984;22.1984605745,114.272700609;20.8701111831,113.192464821;19.9252861507,112.86177606;15.1073533605,112.232230143;1.22454143909,104.972634668;1.34636181084,103.97;1.13232257915,105.608866066;3.33271509906,109.312580193;13.9195733198,118.839256619;14.3683106542,120.809693556;14.4248749637,120.346652716;14.7782359496,119.931040287;16.3754997686,119.47469832;18.9538223014,120.524503911;20.1380030087,122.573724426;22.7289419552,123.045977597;24.5106120163,123.318177189;25.0302657841,122.674796334;25.2799256836,121.574712396",6,value
"22.2916328387,114.269988984;22.234793321,114.282948307;21.6401435845,117.577240326;22.1350519348,122.031415479;23.4713044807,122.650050916;24.881793279,122.501578411;25.2799256836,121.574712396",6,value
"22.9917804757,125.680861623;24.2298824767,128.507612577",7,value
"24.2298824767,128.507612577;26.2922820774,133.216344196;28.5688604888,136.779684318;32.245254558,136.854745415",5,value
"25.2799256836,121.574712396;25.5499195519,122.575814664;25.599410387,123.51614053;25.6241558045,124.30799389;22.9917804757,125.680861623",3,value
"32.245254558,136.854745415;34.322629,136.87935;33.715907332,138.487118126;34.1613248473,140.169806517;35.448086558,141.011150713;36.380301,140.616147;35.6790437882,141.130753564;34.3097973523,141.580295316;33.4189623218,140.565733198;32.245254558,136.854745415",5,value
"32.245254558,136.854745415;31.7362739308,135.245468432;29.5586771894,131.286201629;29.9298584521,129.281822811;33.6664164969,125.495773931;36.8495284393,125.991834342;36.831134,126.189523",3,value
"36.0392533264,120.348842965;31.5878014257,123.120213849;26.1685549898,126.436099796;24.2298824767,128.507612577",7,value
"13.781255008,-61.1749947236;13.5166419163,-61.2683875795;13.2099916158,-61.3256347271;13.166667,-61.233333;12.9874157327,-61.5796970992;12.712425657,-61.6938439231;12.3803621693,-61.7457288431;12.1412051163,-61.7497418174;12.0586756655,-61.875441143;11.8770784457,-61.9013836029;10.7819012837,-61.3885741324",4,value
"13.781255008,-61.1749947236;13.5996577882,-61.0089629797;13.2468403325,-60.2877625924;13.0865732847,-59.6144294183",3,value
"16.8396039308,-62.4827947462;16.7438839374,-62.3424054226;16.715995793,-62.2291098356;16.5986061616,-62.2542010586;16.3547470378,-62.1504312187;16.1202167275,-61.9263692685;16.016667,-61.75;15.8799229109,-61.8195720167;15.7464263462,-61.8062223602;15.5461814991,-61.6994251084;15.4037851633,-61.5392292307;15.3375,-61.390278;15.2391394001,-61.5036301468;15.1412419193,-61.5125299178;15.0420585629,-61.4811157513;14.8708383271,-61.3462149594;14.8160348804,-61.230973688;14.7359375352,-61.2787645635;14.5076438874,-61.2735760715;14.2170883356,-61.2268796435;13.8923211648,-61.0799399288;13.781255008,-61.1749947236",6,value
"17.1258908487,-61.8774205281;17.0279933679,-62.2823601079;16.8396039308,-62.4827947462",2,value
"18.4583562612,-64.5756053406;18.367881932,-64.4126137287;18.2641120921,-63.7692407213;18.1716110082,-63.1593902364;18.1343997922,-63.1103022379;18.1499652682,-62.970212954;18.0949996811,-62.9864675266;17.9268601124,-62.944270494;17.6674355126,-63.1103022379;17.2994363829,-63.052190298;17.3,-62.733333;17.1214409632,-62.8830946493;17.0190935969,-62.7673976265;16.8995386973,-62.5706990704;16.8396039308,-62.4827947462",2,value
"58.5941333333,-3.37316666667;57.9945510243,-4.43365507858;57.551048633,-4.58148920902;57.2225283432,-4.03943073075;56.7954519664,-3.6944844264;56.3355235605,-3.72733645538;56.0070032707,-3.84231855683;55.8591691402,-3.61235435393;55.960932439,-3.31648443654",4,value
"13.7489438645,121.047363691;13.7505128449,120.402308776;14.5201891649,119.59456108;16.3476152174,119.156740255;18.3082910862,119.880096401;18.8793617276,120.241774474;19.0887542961,122.354735847;14.0221679764,144.252836168;13.5297238648,144.800678887",7,value
"48.2067824597,-53.959351966;48.2180060602,-53.8799688437;48.1537877672,-53.6772798565;48.1758628055,-53.6050342769;48.2119855953,-53.5347955189;48.5244532539,-52.6049024012;56.4375054132,-51.620016081;64.1752729027,-51.7421109503;62.8902088907,-51.484169692;61.0902442364,-50.2275905937;60.3770506942,-48.903088301;60.1393195134,-47.3408548275;60.7257333187,-46.1761331023;60.4708167202,-46.4290983843;59.2902795822,-45.099389409;58.9846252069,-43.4352711437;59.2563179849,-39.7334570435;62.3128617374,-24.3828150865;62.9581320852,-21.597964112;63.6105333333,-20.3458",8,value
"13.0604848806,80.2871408365;8.55005726499,95.9813091865;2.68779520369,101.12082661;1.20215344843,103.550051642;1.31939267269,103.641213214",4,value
"28.0,-180.0;21.4760545372,-158.233413103;35.379167,-120.853333;35.4100991753,-120.998364957;36.3222158785,-121.947911935;38.9112225617,-123.688862299;38.8414531029,-133.653825893;35.0,-180.0",point,value
"28.0,180.0;33.8943025601,145.204599284;33.1679098444,142.665948062;33.3449643995,141.633129824;34.1284283612,140.846715608",8,value
"34.1284283612,140.846715608;35.005963,139.974752;35.203222522,140.6744151;36.2161991016,141.039074905;36.792527,140.741799;35.0,180.0",point,value
"34.322629,136.87935;33.2859462144,138.49336238;33.8761280648,140.50588249;34.1284283612,140.846715608",8,value
"34.8516402876,32.349206796;34.7388392999,32.3028253784;34.5622866396,32.4462744149;34.4409066857,32.8435179006;34.5181484746,33.2517959275;34.6891838642,33.5386940005;34.8236688246,33.5994309635",5,value
"33.1724836126,29.4287303884;32.0332466934,30.9399630363;32.056066454,34.7409417546",6,value
"34.7188391939,32.4661021062;33.939724803,31.6607047606;33.3352317439,29.707727185;33.1724836126,29.4287303884",4,value
"37.4987205284,15.0985866815;37.6359481245,12.5457110495;37.171437696,12.8051712625;35.9392018447,15.2928926981;35.3114590525,17.362118939;34.8232146586,19.9660890398;34.3349702647,25.1275297754;33.939724803,27.4525030798;33.1724836126,29.4287303884",4,value
"9.45363060339,-79.7318183875;9.84194649802,-80.1083670689;11.0780296046,-80.1092113759;12.6086156735,-78.6020657924",4,value
"9.96507169454,-83.0335707379;10.972999584,-81.920979232;13.3159054447,-79.3194406647",7,value
"12.6086156735,-78.6020657924;10.7891970478,-76.8270232307;9.52802640307,-75.5942365153",3,value
"13.3159054447,-79.3194406647;12.9423124711,-78.9276236436;12.6086156735,-78.6020657924",4,value
"15.8414254562,-87.9461885659;16.04030908,-88.2216974592;16.6971357091,-87.776402883;18.8212618122,-84.4843432122",2,value
"17.3602078131,-83.2854088039;15.0954278943,-81.1857690875;13.3159054447,-79.3194406647",7,value
"18.8212618122,-84.4843432122;17.6161483898,-83.5226870469;17.3602078131,-83.2854088039",point,value
"19.2866505139,-81.154308641;18.6927061014,-81.3433141185;17.3602078131,-83.2854088039",point,value
"20.8983365349,-85.9121200165;20.2156414008,-85.5970299546;18.8212618122,-84.4843432122",2,value
"21.0421894576,-86.8136106482;20.8983365349,-85.9121200165",5,value
"26.0210404455,-80.1197640539;25.4121608086,-79.8676821125;24.5900621924,-80.3831248956;23.9897997108,-81.5020924565;23.3601765643,-82.7678633417;22.6098484623,-84.2000113277;21.8399465837,-85.129765715;20.8983365349,-85.9121200165",5,value
"37.4987205284,15.0985866815;37.431136017,15.2219317372;37.297968246,15.3939003337;36.9569936877,15.4088063253;36.565746525,15.3254637344;36.1837596501,15.1055318974;35.9476223093,14.466572034",4,value
"34.6117494672,31.1103993049;34.5731683881,30.5672964221;34.712653828,28.8044378847;35.7632462897,24.6050358133;35.7751173909,24.1569017406;35.7365363118,22.7630488139;36.2646276241,20.4235252288;37.4186540913,15.7593349242;37.4987205284,15.0985866815;37.6430481265,14.9899839462;37.7712732895,12.9544094834;37.6359481245,12.5457110495;37.2102882014,13.0024939195;36.2005150426,15.2464342722;35.7998114082,16.8492488099;35.1747137385,20.0228215944;34.5175597781,24.943462225;34.0847998529,27.6361906483;33.7001243639,29.3992866397;34.5751921267,32.0336562103;34.7188391939,32.4661021062",2,value
"34.8236688246,33.5994309635;34.5256839831,33.6448794243;34.3149719357,32.8910644942;34.3802629926,32.3776393646;34.6087816919,31.1074315296",6,value
"38.1794107953,13.0931389153;38.3504554141,13.1930231988;38.2991673171,15.1547929079;38.3271379972,15.6887137518;38.2621507108,15.6694582595;38.2260466627,15.5852154808;37.6965321777,15.6676738776;35.9142708079,22.7710753081;36.0937791473,23.2326681808;36.4015077292,23.5660408111;36.6323041655,23.8096592718;39.9275643959,25.9124712476;40.0765679065,26.2970078977;40.2276221759,26.4439796192;40.4404453656,26.7459028233;40.7481739475,28.8102487264;41.0543317475,29.038550219;41.0893877556,29.0644770584;41.125539264,29.0776230615;41.1507357699,29.0568085566;41.2277859545,29.1323980742;43.8511038142,31.4259416719",point,value
"43.8511038142,31.4259416719;43.8639258384,35.8495400357;44.632479506,37.786096789",point,value
"43.8511038142,31.4259416719;46.1718902021,31.0028148719;46.3953392917,30.7649213335",5,value
"33.9081047929,33.2978339214;34.5188428384,33.8300027594;34.8236688246,33.5994309635",5,value
"33.9081047929,33.2978339214;34.1599732787,32.908353881;34.4784120087,31.1093111413;34.4729686116,30.5649714319;34.638992223,28.7822588835;35.3465478953,25.9802715984",4,value
"35.3465478953,25.9802715984;35.6868461637,24.5772346282;35.6841244651,24.1281543679;35.5213240051,24.0061446437",7,value
"35.5213240051,24.0061446437;35.7167848477,23.9213052783;35.6977329579,23.5293806876;35.5823493162,22.766547343;37.3960728513,15.473152988;37.4987205284,15.0985866815;37.3361954832,15.4268841127;35.9291207333,17.0539445249;35.3450846624,20.5399098228;34.8705553548,23.7338570854;34.3047704112,27.4935892916;33.9122987109,29.1524098859;32.2520625972,31.0766507588;32.2241419087,34.2830086154;32.056066454,34.7409417546;32.4796576897,34.593277778;32.6986712163,34.7027845413;32.8310171933,34.9634020464;33.9081047929,33.2978339214",4,value
"35.5213240051,24.0061446437;37.8150079515,23.8322216221;37.3709597832,24.044126248;37.2249507655,24.7559202094;37.352708656,25.7779833334",4,value
"37.352708656,25.7779833334;36.7686725851,26.0700013688;35.3465478953,25.9802715984",4,value
"41.0543317475,29.038550219;40.7481739475,28.8102487264;40.4151925674,26.7609440959;40.2194570802,26.4603098105;40.0602377152,26.3072142672;39.907142172,25.9295785938;39.6902631192,25.8507375391;38.1922605079,25.066189372;37.352708656,25.7779833334",4,value
"52.4516666667,1.73465;59.0167219959,5.42023082145;59.2742124307,5.50296652112",2,value
"33.0,180.0;34.1834004152,149.167101514;31.5552380963,139.110000373;34.322629,136.87935;33.4855304047,138.494160884;34.049390684,140.392490491;35.6407296946,141.369848308;36.380301,140.616147;36.0756772848,143.455228741;44.0,180.0",point,value
"44.0,-180.0;48.5407159544,-124.704224358;48.2753704896,-123.708359898;48.2720946197,-122.850081975;48.0853700333,-122.617495209;47.9707145856,-122.542150201;47.865,-122.332166667;47.9674387156,-122.58801238;48.0984735131,-122.653529778;48.2295083105,-122.840254365;48.2164048307,-123.767325557;48.4443713807,-124.73932843;48.0709568796,-124.957163775;42.3691659878,-125.91163442;39.6501835021,-125.752249738;35.9106120163,-124.105218941;35.1176474992,-120.607204622;34.0164938568,-134.461620783;33.0,-180.0",point,value
"-13.2235059952,-78.5372091875;-15.076537945,-77.3381885141;-17.0863259824,-74.8529667474;-18.1668571853,-72.1084174919;-18.4889547306,-70.316074801",1,value
"-12.2811561748,-76.9087502314;-13.2235059952,-78.5372091875",5,value
"-2.20136354379,-80.9886662964;-2.02047317414,-82.5674598687",7,value
"-2.02047317414,-82.5674598687;-2.86653535188,-82.6976232806;-5.45981023891,-82.6976232806;-7.10221766736,-82.092525807;-9.17683757698,-81.0552158522;-12.872254291,-78.764489702;-13.2235059952,-78.5372091875",5,value
"11.1202054309,-74.8686607319;14.2162541168,-76.6102025188",8,value
"11.7081464338,-70.2266683125;12.2609014891,-70.6821163041;13.0172733312,-70.8766119206;15.6722827355,-73.398978895",5,value
"12.4138,-69.88;12.444775978,-69.7011011317;16.3453094362,-71.2223819055",5,value
"14.2162541168,-76.6102025188;13.3846539402,-78.1810028524;11.4580944506,-80.100942456;11.1587596621,-80.3204546342;10.1214497073,-80.4285077545;9.38035438284,-79.8733690938;8.65192727134,-79.5424721681;6.59891798578,-79.2183128072;4.82684681297,-80.1475696417;2.44967816653,-81.2713220928;-0.619030449787,-82.3518532957;-2.02047317414,-82.5674598687",7,value
"15.6722827355,-73.398978895;14.2162541168,-76.6102025188",8,value
"16.3453094362,-71.2223819055;15.6722827355,-73.398978895",5,value
"17.7317454471,-64.881889145;17.1232919023,-68.3481689058;16.3453094362,-71.2223819055",5,value
"52.6189140901,4.62649914432;51.7692212023,2.57662410836;51.6513645483,2.31846191391;51.1275309374,2.64353865754",4,value
"-23.4219575045,-43.4875241981;-22.7419340231,-39.9963975851;-17.1910101464,-36.4961334845;-13.9708884013,-35.4108990842",2,value
"-23.0006844514,-43.2755566248;-23.4219575045,-43.4875241981",1,value
"-13.9708884013,-35.4108990842;-13.0177694464,-38.4795987227",7,value
"-13.9708884013,-35.4108990842;-10.7915373968,-34.3394050993;-5.70024415952,-34.6222547236;-4.49813325628,-36.7789831088;-3.75013953496,-38.4761340493;-0.750375734417,-39.6428355547;15.9731083018,-53.9267415815;19.9727787703,-61.3294465922;19.1595861005,-65.6429033627;18.4542979695,-66.0098887037",7,value
"-4.53200719419,-84.0259218404;-6.48606875457,-83.9700915101;-12.8228112432,-80.5086110317;-12.2811561748,-76.9087502314;-14.2210890913,-77.1204107734;-16.0242554462,-75.4233130276;-17.3677911615,-73.1251598302;-18.4889547306,-70.316074801;-19.3123823286,-70.7209380238;-22.3883719927,-71.7462679118;-27.9039396664,-72.3473233634;-30.2728052699,-72.4180357695;-33.0124596103,-71.5699959289;-36.4482242518,-56.6887576375;-34.1619876039,-51.557875978;-28.1514330877,-47.5272688319;-23.9803346126,-46.3541387126;-23.4219575045,-43.4875241981",1,value
"-4.1,-81.05;-4.53200719419,-84.0259218404",4,value
"-3.02458827618,-83.8863460146;-4.53200719419,-84.0259218404",4,value
"-2.2167,-80.950067;-2.8371642287,-81.4071262666;-3.02458827618,-83.8863460146",6,value
